id,roster_year,player_number,first_name,last_name,year,position1,height,weight,home_town,state_or_country,high_school,alternative_school,college,college_league,bio_link,is_starter,accolade
6774,2017,17,Matthew,Ranieri,Freshman,Defender,5'11,155,Natick,MA,Noble and Greenough School,,Dartmouth College,IVY,https://dartmouthsports.com/roster.aspx?rp_id=11252,N,
6775,2018,3,Matthew,Ranieri,Sophomore,Defender,5'11,155,Natick,MA,Noble and Greenough School,,Dartmouth College,IVY,https://dartmouthsports.com/roster.aspx?rp_id=15774,N,
6776,2015,1,Matthew,Reynolds,Freshman,Goalkeeper,6'3,185,Atlanta,GA,Woodward Academy,,Wofford College,SOUTHERN,https://woffordterriers.com/roster.aspx?rp_id=4263,,
6777,2016,1,Matthew,Reynolds,Freshman,Goalkeeper,6'3,190,Atlanta,GA,Woodward Academy,,Wofford College,SOUTHERN,https://woffordterriers.com/roster.aspx?rp_id=4641,N,
6778,2017,1,Matthew,Reynolds,Sophomore,Goalkeeper,6'3,190,Atlanta,GA,Woodward Academy,,Wofford College,SOUTHERN,https://woffordterriers.com/roster.aspx?rp_id=5188,Y,
6779,2018,1,Matthew,Reynolds,Senior,Goalkeeper,6'3,197,Atlanta,GA,Woodward Academy,,Wofford College,SOUTHERN,https://woffordterriers.com/roster.aspx?rp_id=5625,,
6780,2018,1,Matthew,Reynolds,Senior,Goalkeeper,6'3,197,Atlanta,GA,Woodward Academy,,Wofford College,SOUTHERN,https://woffordterriers.com/roster.aspx?rp_id=5625,,
6781,2007,20,Matthew,Shea,Freshman,Midfielder,5'11,165,Boston,MA,Hanover,,Boston University,PATRIOT,https://goterriers.com/roster.aspx?rp_id=3264,Y,
6782,2008,20,Matthew,Shea,Sophomore,Midfielder,5'11,165,Boston,MA,Hanover,,Boston University,PATRIOT,https://goterriers.com/roster.aspx?rp_id=3234,Y,
6783,2009,20,Matthew,Shea,Junior,Back,5'11,165,Boston,MA,Hanover,,Boston University,PATRIOT,https://goterriers.com/roster.aspx?rp_id=3205,Y,
6784,2010,20,Matthew,Shea,Senior,Back,5'11,165,Boston,MA,Hanover,,Boston University,PATRIOT,https://goterriers.com/roster.aspx?rp_id=3177,N,
6785,2012,13,Matthew,Shinsky,Freshman,Defender,5'7,150,Towson,MD,McDonogh,,Columbia University,IVY,https://gocolumbialions.com/roster.aspx?rp_id=6290,,
6786,2013,13,Matthew,Shinsky,Sophomore,Defender,5'7,150,Towson,MD,McDonogh,,Columbia University,IVY,https://gocolumbialions.com/roster.aspx?rp_id=6805,,
6787,2014,13,Matthew,Shinsky,Junior,Defender,5'7,150,Towson,MD,McDonogh,,Columbia University,IVY,https://gocolumbialions.com/roster.aspx?rp_id=7190,,
6788,2015,13,Matthew,Shinsky,Senior,Defender,5'7,150,Towson,MD,McDonogh,,Columbia University,IVY,https://gocolumbialions.com/roster.aspx?rp_id=7675,,
6789,2016,16,Matthew,Swain,Freshman,Midfielder,5'11,165,New York,NY,Trinity School,,Columbia University,IVY,https://gocolumbialions.com/roster.aspx?rp_id=8000,,
6790,2017,11,Matthew,Swain,Sophomore,Midfielder,5'11,,New York,NY,Trinity School,,Columbia University,IVY,https://gocolumbialions.com/roster.aspx?rp_id=8255,,
6791,2018,11,Matthew,Swain,Junior,Midfielder,5'11,,New York,NY,Trinity School,,Columbia University,IVY,https://gocolumbialions.com/roster.aspx?rp_id=10345,N,
6792,2006,5,Matthew,Thomas,Freshman,Defender,6'0,180,Langhorne,PA,Germantown Academy,,Duke University,ATLANTIC COAST,http://www.goduke.com/ViewArticle.dbml?ATCLID=511684&DB_OEM_ID=4200&Q_SEASON=2006,,
6793,2007,5,Matthew,Thomas,Sophomore,Defender,6'0,180,Langhorne,PA,Germantown Academy,,Duke University,ATLANTIC COAST,http://www.goduke.com/ViewArticle.dbml?ATCLID=511684&DB_OEM_ID=4200&Q_SEASON=2007,,
6794,2008,5,Matthew,Thomas,Junior,Defender,6'0,180,Langhorne,PA,Germantown Academy,,Duke University,ATLANTIC COAST,http://www.goduke.com/ViewArticle.dbml?ATCLID=511684&DB_OEM_ID=4200&Q_SEASON=2008,N,
6795,2009,5,Matthew,Thomas,Senior,Defender,6'0,180,Langhorne,PA,Germantown Academy,,Duke University,ATLANTIC COAST,http://www.goduke.com/ViewArticle.dbml?ATCLID=511684&DB_OEM_ID=4200&Q_SEASON=2009,Y,
6796,2010,5,Matthew,Thomas,Graduate,Defender,6'0,180,Langhorne,PA,Germantown Academy,,Duke University,ATLANTIC COAST,http://www.goduke.com/ViewArticle.dbml?ATCLID=511684&DB_OEM_ID=4200&Q_SEASON=2010,Y,
6797,2012,31,Matthew,Tran,Freshman,Defender,5'7,160,Augusta,GA,Lakeside,,Wofford College,SOUTHERN,https://woffordterriers.com/roster.aspx?rp_id=3144,,
6798,2013,31,Matthew,Tran,Freshman,Defender,5'7,160,Augusta,GA,Lakeside,,Wofford College,SOUTHERN,https://woffordterriers.com/roster.aspx?rp_id=3434,N,
6799,2014,31,Matthew,Tran,Junior,Defender,5'7,160,Augusta,GA,Lakeside,,Wofford College,SOUTHERN,https://woffordterriers.com/roster.aspx?rp_id=3846,N,
6800,2015,31,Matthew,Tran,Senior,Defender,5'7,160,Augusta,GA,Lakeside,,Wofford College,SOUTHERN,https://woffordterriers.com/roster.aspx?rp_id=4261,N,
6801,2015,4,Matthew,Ward,Freshman,Forward,5'11,175,Athens,GA,Clarke Central High School,,Wofford College,SOUTHERN,https://woffordterriers.com/roster.aspx?rp_id=4264,N,
6802,2016,4,Matthew,Ward,Sophomore,Forward,5'11,175,Athens,GA,Clarke Central High School,,Wofford College,SOUTHERN,https://woffordterriers.com/roster.aspx?rp_id=4647,N,
6803,2017,18,Matthias,Frick,Freshman,Defender,6'2,195,Feldkirch,Austria,Collegium Bernardi High School,,Duke University,ATLANTIC COAST,http://www.goduke.com/ViewArticle.dbml?ATCLID=211631896&DB_OEM_ID=4200&Q_SEASON=2017,Y,
6804,2018,18,Matthias,Frick,Sophomore,Defender,6'2,195,Feldkirch,Austria,Collegium Bernardi High School,,Duke University,ATLANTIC COAST,http://www.goduke.com/ViewArticle.dbml?ATCLID=211631896&DB_OEM_ID=4200&Q_SEASON=2018,Y,
